wavelength_nm,frequency_THz,power_dBm
1529.202845905848,196.0449255,-63.5
1529.2038451207582,196.0447974,-63.349999999999994
1529.2048443369736,196.0446693,-63.25
1529.2058435544952,196.0445412,-63.25
1529.2068427733225,196.0444131,-63.14999999999999
1529.2078419934555,196.044285,-63.0
1529.2088412148946,196.0441569,-63.0
1529.2098404376393,196.0440288,-62.94999999999999
1529.21083966169,196.0439007,-62.8
1529.2118388870465,196.0437726,-62.64999999999999
1529.2128381137088,196.0436445,-62.5
1529.213837341677,196.04351640000002,-62.5
1529.2148365709509,196.0433883,-62.5
1529.2158358015308,196.0432602,-62.5
1529.2168350334164,196.0431321,-62.39999999999999
1529.2178342666082,196.043004,-62.25
1529.2188335011053,196.0428759,-62.099999999999994
1529.2198327369088,196.0427478,-62.0
1529.220831974018,196.0426197,-62.0
1529.2218312124328,196.0424916,-61.89999999999999
1529.2228304521539,196.0423635,-61.75
1529.2238296931803,196.0422354,-61.599999999999994
1529.224828935513,196.0421073,-61.5
1529.2258281791514,196.04197920000001,-61.5
1529.2268274240957,196.0418511,-61.39999999999999
1529.227826670346,196.041723,-61.25
1529.228825917902,196.0415949,-61.099999999999994
1529.2298251667642,196.0414668,-61.0
1529.230824416932,196.0413387,-61.0
1529.2318236684057,196.0412106,-60.89999999999999
1529.2328229211853,196.04108250000002,-60.75
1529.233822175271,196.0409544,-60.599999999999994
1529.2348214306624,196.0408263,-60.5
1529.2358206873596,196.0406982,-60.5
1529.2368199453629,196.0405701,-60.39999999999999
1529.237819204672,196.040442,-60.25
1529.238818465287,196.0403139,-60.25
1529.239817727208,196.0401858,-60.19999999999999
1529.2408169904347,196.0400577,-60.05
1529.2418162549677,196.0399296,-59.89999999999999
1529.2428155208063,196.0398015,-59.75
1529.243814787951,196.0396734,-59.599999999999994
1529.2448140564013,196.03954530000001,-59.5
1529.2458133261578,196.0394172,-59.5
1529.2468125972202,196.0392891,-59.39999999999999
1529.2478118695885,196.039161,-59.25
1529.2488111432629,196.0390329,-59.099999999999994
1529.249810418243,196.0389048,-59.0
1529.2508096945292,196.0387767,-59.0
1529.2518089721214,196.0386486,-58.89999999999999
1529.2528082510191,196.0385205,-58.75
1529.2538075312232,196.0383924,-58.599999999999994
1529.2548068127328,196.0382643,-58.5
1529.255806095549,196.0381362,-58.5
1529.2568053796704,196.0380081,-58.5
1529.2578046650983,196.03788,-58.5
1529.258803951832,196.0377519,-58.27499999999999
1529.2598032398716,196.0376238,-58.04999999999998
1529.2608025292172,196.0374957,-57.824999999999996
1529.2618018198689,196.0373676,-57.75
1529.2628011118265,196.0372395,-57.75
1529.2638004050898,196.03711140000001,-57.599999999999994
