wavelength_nm,frequency_THz,power_dBm
1566.73,191.34915269382725,-69.3438147
1566.731,191.34903056108544,-69.0299366
1566.732,191.34890842849956,-68.8676985
1566.733,191.3487862960696,-69.0755536
1566.7340000000002,191.34866416379546,-69.3012604
1566.7350000000001,191.3485420316773,-69.0512309
1566.7359999999999,191.34841989971508,-68.9375124
1566.7369999999999,191.34829776790872,-68.7495156
1566.738,191.34817563625825,-68.9621059
1566.739,191.3480535047637,-68.875105
1566.74,191.34793137342507,-68.7249642
1566.741,191.34780924224233,-69.3251714
1566.742,191.3476871112155,-68.7992655
1566.7430000000002,191.34756498034452,-68.6049443
1566.744,191.34744284962954,-68.6123053
1566.745,191.34732071907044,-68.717252
1566.7459999999999,191.34719858866723,-68.9807783
1566.747,191.34707645841988,-68.9605844
1566.748,191.34695432832845,-68.6710475
1566.749,191.34683219839297,-68.567631
1566.75,191.34671006861336,-68.7487912
1566.7510000000002,191.34658793898961,-68.8070684
1566.752,191.34646580952185,-68.8566636
1566.753,191.34634368020997,-68.7351392
1566.754,191.34622155105396,-68.9123291
1566.755,191.34609942205384,-68.9044292
1566.756,191.34597729320961,-68.0515376
1566.757,191.34585516452134,-68.4489659
1566.758,191.34573303598896,-69.1353471
1566.759,191.34561090761244,-68.2235922
1566.76,191.34548877939184,-68.6004435
1566.761,191.34536665132714,-68.4322889
1566.762,191.34524452341836,-68.3101166
1566.763,191.34512239566547,-67.9185175
1566.7640000000001,191.3450002680684,-67.9158355
1566.765,191.34487814062732,-68.198956
1566.766,191.34475601334213,-67.9729938
1566.7669999999998,191.34463388621285,-67.8997162
1566.768,191.34451175923937,-67.905693
1566.769,191.34438963242187,-67.962407
1566.77,191.34426750576026,-67.7340635
1566.771,191.3441453792545,-67.5819174
1566.7720000000002,191.34402325290466,-67.4433169
1566.7730000000001,191.3439011267107,-67.5847343
1566.7740000000001,191.3437790006727,-67.0742155
1566.7749999999999,191.34365687479058,-67.2375492
1566.7759999999998,191.3435347490643,-67.2613936
1566.777,191.34341262349395,-67.237244
1566.778,191.34329049807945,-67.0313268
1566.779,191.34316837282094,-67.0325467
1566.78,191.34304624771823,-67.1192544
1566.7810000000002,191.34292412277142,-66.7322059
1566.782,191.34280199798056,-66.6174339
1566.783,191.3426798733456,-66.5166196
1566.7839999999999,191.34255774886645,-66.731069
1566.785,191.3424356245432,-66.84729
1566.786,191.3423135003759,-66.4296775
1566.787,191.3421913763645,-66.6716338
1566.788,191.34206925250894,-66.2473029
1566.789,191.34194712880927,-66.2501294
1566.79,191.34182500526552,-66.2540442
1566.791,191.3417028818777,-66.0190771
1566.792,191.34158075864568,-66.1072851
1566.793,191.34145863556958,-65.7195419
1566.794,191.34133651264938,-65.7378424
1566.795,191.34121438988507,-65.726269
1566.796,191.34109226727665,-65.4570787
1566.797,191.34097014482413,-65.4363934
1566.798,191.34084802252747,-65.250961
1566.799,191.34072590038667,-65.2203012
1566.8,191.34060377840183,-65.1632324
1566.801,191.34048165657285,-64.8689489
1566.8020000000001,191.3403595348997,-64.9844879
1566.803,191.34023741338248,-64.5556703
1566.804,191.34011529202118,-64.5559452
1566.8049999999998,191.33999317081577,-64.3404262
1566.806,191.33987104976617,-64.4551591
1566.807,191.33974892887252,-64.0929882
1566.808,191.3396268081347,-64.1343457
1566.809,191.33950468755285,-64.0887823
1566.81,191.33938256712685,-63.8417734
1566.8110000000001,191.33926044685666,-63.5541833
1566.8120000000001,191.33913832674241,-63.5636391
1566.8129999999999,191.3390162067841,-63.1909929
1566.8139999999999,191.3388940869816,-63.1876696
1566.815,191.338771967335,-62.4237907
1566.816,191.33864984784427,-62.3285007
1566.817,191.33852772850946,-62.1156928
1566.818,191.3384056093305,-62.1277414
1566.8190000000002,191.3382834903074,-61.8174456
1566.8200000000002,191.3381613714402,-61.6767355
1566.821,191.33803925272895,-61.4328159
1566.822,191.3379171341735,-61.3150523
1566.8229999999999,191.33779501577396,-61.071325
1566.824,191.33767289753024,-61.0157289
1566.825,191.33755077944247,-60.7249815
1566.826,191.3374286615106,-60.5168674
1566.827,191.33730654373457,-60.3446283
1566.828,191.3371844261144,-60.1392195
1566.829,191.33706230865013,-59.9039497
